URN,School level progress 8 score
137739,0
139362,0
137498,0
139659,0
135672,1.31
138220,1.15
135242,1.08
135835,1.02
131895,0.93
132711,0.93
138248,0.93
136287,0.91
135587,0.81
135675,0.8
138960,0.8
136418,0.79
134693,0.78
135507,0.78
135970,0.76
136417,0.75
137549,0.75
137995,0.75
130912,0.74
136795,0.73
136615,0.72
136669,0.71
139365,0.71
136290,0.7
136789,0.7
137121,0.7
137178,0.7
137789,0.7
138084,0.7
139151,0.69
131262,0.68
136313,0.68
136419,0.68
136882,0.68
138457,0.67
138461,0.67
138495,0.67
136272,0.66
138582,0.66
139624,0.66
136420,0.65
136449,0.65
136497,0.65
136910,0.65
138729,0.65
136891,0.64
136962,0.64
137826,0.64
139823,0.63
136582,0.62
136474,0.61
137339,0.61
138370,0.61
136634,0.6
136636,0.6
136880,0.6
137288,0.6
137313,0.6
136367,0.59
136667,0.59
136997,0.59
139293,0.59
136310,0.58
136609,0.58
136621,0.58
136651,0.58
136711,0.58
137045,0.58
137219,0.58
137284,0.58
139906,0.58
136295,0.57
136308,0.57
137515,0.57
138743,0.57
136448,0.56
137577,0.56
140134,0.56
131897,0.55
136335,0.55
136368,0.55
136398,0.55
136450,0.55
138051,0.55
138459,0.55
138610,0.55
136322,0.54
136359,0.54
136455,0.54
136592,0.54
136901,0.54
138336,0.54
135816,0.53
136463,0.53
136481,0.53
136642,0.53
137002,0.53
138098,0.53
136306,0.52
136341,0.52
136412,0.52
136572,0.52
136633,0.52
137312,0.52
139517,0.52
139711,0.52
136319,0.51
136603,0.51
137412,0.51
137837,0.51
138375,0.51
136442,0.5
136506,0.5
136773,0.5
136783,0.5
136887,0.5
137006,0.5
137235,0.5
137843,0.5
139989,0.5
139992,0.5
136194,0.49
137338,0.49
137681,0.49
137745,0.49
137848,0.49
137970,0.49
140008,0.49
135316,0.48
136292,0.48
136916,0.48
137791,0.48
138069,0.48
138313,0.48
138841,0.48
139075,0.48
139167,0.48
136276,0.47
136289,0.47
136400,0.47
136554,0.47
137090,0.47
137139,0.47
137157,0.47
137199,0.47
137243,0.47
138464,0.47
138924,0.47
139993,0.47
135619,0.46
136664,0.46
136666,0.46
136723,0.46
136922,0.46
137900,0.46
136267,0.45
136551,0.45
136580,0.45
136644,0.45
137289,0.45
137694,0.45
138767,0.45
135877,0.44
136304,0.44
136358,0.44
136631,0.44
137353,0.44
137527,0.44
137635,0.44
137726,0.44
137928,0.44
139138,0.44
139376,0.44
135249,0.43
136500,0.43
136555,0.43
136590,0.43
136874,0.43
136914,0.43
137233,0.43
137241,0.43
137396,0.43
137418,0.43
137531,0.43
137539,0.43
137767,0.43
138247,0.43
138356,0.43
139047,0.43
140081,0.43
135311,0.42
135423,0.42
136353,0.42
136522,0.42
136834,0.42
136846,0.42
137171,0.42
137204,0.42
137308,0.42
137546,0.42
137736,0.42
137759,0.42
137924,0.42
138638,0.42
138698,0.42
139616,0.42
136085,0.41
136107,0.41
136352,0.41
136392,0.41
136586,0.41
136637,0.41
136647,0.41
137267,0.41
137282,0.41
137465,0.41
137617,0.41
137793,0.41
138829,0.41
136311,0.4
136315,0.4
136675,0.4
136778,0.4
136960,0.4
137152,0.4
137434,0.4
137604,0.4
137730,0.4
137921,0.4
137935,0.4
139193,0.4
139703,0.4
136137,0.39
136416,0.39
136469,0.39
136490,0.39
136531,0.39
136715,0.39
136863,0.39
137024,0.39
137213,0.39
137299,0.39
137340,0.39
137621,0.39
137814,0.39
138141,0.39
139714,0.39
139856,0.39
135531,0.38
136458,0.38
136484,0.38
136498,0.38
136852,0.38
137046,0.38
137078,0.38
137092,0.38
137131,0.38
137388,0.38
137407,0.38
137912,0.38
138286,0.38
138290,0.38
138476,0.38
138490,0.38
134798,0.37
134814,0.37
136366,0.37
136386,0.37
136389,0.37
136656,0.37
136845,0.37
137044,0.37
137344,0.37
137766,0.37
138087,0.37
138470,0.37
140007,0.37
135959,0.36
136361,0.36
136379,0.36
136491,0.36
136516,0.36
136613,0.36
137200,0.36
137296,0.36
137829,0.36
137899,0.36
137976,0.36
137982,0.36
138106,0.36
138449,0.36
138483,0.36
139144,0.36
135888,0.35
136277,0.35
136355,0.35
136521,0.35
136530,0.35
137028,0.35
137166,0.35
137685,0.35
137769,0.35
137901,0.35
136329,0.34
136640,0.34
136742,0.34
137005,0.34
137229,0.34
137260,0.34
137708,0.34
137768,0.34
137781,0.34
137903,0.34
138134,0.34
135581,0.33
135676,0.33
135934,0.33
136115,0.33
136321,0.33
136336,0.33
136396,0.33
136460,0.33
136470,0.33
136579,0.33
136628,0.33
137033,0.33
137051,0.33
137221,0.33
137302,0.33
137913,0.33
138473,0.33
138505,0.33
138950,0.33
133386,0.32
135600,0.32
136298,0.32
136391,0.32
136538,0.32
136776,0.32
136994,0.32
137055,0.32
137237,0.32
137628,0.32
137916,0.32
137929,0.32
137969,0.32
137985,0.32
138228,0.32
140149,0.32
135563,0.31
135973,0.31
136152,0.31
136309,0.31
136850,0.31
136897,0.31
136990,0.31
137047,0.31
137184,0.31
137239,0.31
137572,0.31
137757,0.31
138361,0.31
139063,0.31
135170,0.3
135262,0.3
135962,0.3
136443,0.3
136456,0.3
136488,0.3
136905,0.3
136996,0.3
137034,0.3
137223,0.3
137379,0.3
137523,0.3
137578,0.3
138108,0.3
138823,0.3
139153,0.3
139655,0.3
139948,0.3
140069,0.3
135961,0.29
136286,0.29
136369,0.29
136381,0.29
136827,0.29
136856,0.29
136884,0.29
137129,0.29
137230,0.29
137263,0.29
137634,0.29
137645,0.29
137877,0.29
137923,0.29
138006,0.29
138609,0.29
138825,0.29
138835,0.29
139258,0.29
131062,0.28
135965,0.28
136333,0.28
136595,0.28
136709,0.28
136732,0.28
136898,0.28
137038,0.28
137060,0.28
137272,0.28
137287,0.28
137474,0.28
135651,0.27
136291,0.27
136299,0.27
136415,0.27
136451,0.27
136624,0.27
136775,0.27
136913,0.27
136976,0.27
137039,0.27
137077,0.27
137306,0.27
137343,0.27
138135,0.27
138474,0.27
139109,0.27
139154,0.27
140123,0.27
134226,0.26
136261,0.26
136283,0.26
136343,0.26
136625,0.26
136832,0.26
136878,0.26
136906,0.26
137427,0.26
137740,0.26
138482,0.26
138728,0.26
138855,0.26
138865,0.26
138932,0.26
135317,0.25
135575,0.25
136323,0.25
136610,0.25
136770,0.25
136777,0.25
136890,0.25
136985,0.25
137043,0.25
137208,0.25
137270,0.25
137431,0.25
137442,0.25
137453,0.25
137475,0.25
137595,0.25
137753,0.25
137927,0.25
131609,0.24
136177,0.24
136717,0.24
136731,0.24
136911,0.24
137349,0.24
137622,0.24
137742,0.24
138475,0.24
139068,0.24
131752,0.23
136271,0.23
136360,0.23
136482,0.23
136782,0.23
137086,0.23
137609,0.23
137729,0.23
137852,0.23
137917,0.23
138075,0.23
135631,0.22
135907,0.22
136350,0.22
136444,0.22
136524,0.22
136736,0.22
137100,0.22
137357,0.22
137452,0.22
137476,0.22
137678,0.22
137704,0.22
138110,0.22
138136,0.22
138460,0.22
138695,0.22
139343,0.22
132727,0.21
135264,0.21
136556,0.21
136581,0.21
136632,0.21
136966,0.21
137020,0.21
137057,0.21
137082,0.21
137375,0.21
137703,0.21
137994,0.21
138385,0.21
138691,0.21
139658,0.21
135364,0.2
136342,0.2
136459,0.2
136468,0.2
136495,0.2
136584,0.2
136622,0.2
136851,0.2
136899,0.2
137009,0.2
137048,0.2
137085,0.2
137123,0.2
137377,0.2
137695,0.2
137727,0.2
138187,0.2
139095,0.2
139819,0.2
131747,0.19
136382,0.19
136520,0.19
136588,0.19
136617,0.19
136757,0.19
137099,0.19
137250,0.19
137264,0.19
137314,0.19
137389,0.19
137456,0.19
137815,0.19
137914,0.19
137919,0.19
137993,0.19
139155,0.19
135963,0.18
135968,0.18
136197,0.18
136649,0.18
136787,0.18
136893,0.18
137215,0.18
137269,0.18
137355,0.18
137692,0.18
137938,0.18
138318,0.18
138491,0.18
138499,0.18
138685,0.18
135174,0.17
135677,0.17
136505,0.17
136529,0.17
136534,0.17
136771,0.17
136978,0.17
137240,0.17
137387,0.17
137564,0.17
137633,0.17
137926,0.17
137940,0.17
138607,0.17
138682,0.17
139140,0.17
135073,0.16
136120,0.16
136334,0.16
136357,0.16
136527,0.16
136578,0.16
136608,0.16
136662,0.16
136680,0.16
136828,0.16
136840,0.16
136907,0.16
136998,0.16
137101,0.16
137116,0.16
137547,0.16
137801,0.16
137839,0.16
138032,0.16
138839,0.16
139148,0.16
139311,0.16
134222,0.15
134224,0.15
134225,0.15
135674,0.15
136203,0.15
136377,0.15
136573,0.15
137202,0.15
137429,0.15
137612,0.15
138019,0.15
138651,0.15
138667,0.15
139842,0.15
139888,0.15
140105,0.15
133697,0.14
136174,0.14
136266,0.14
136388,0.14
136399,0.14
136466,0.14
136545,0.14
136577,0.14
136618,0.14
136673,0.14
136730,0.14
136750,0.14
136842,0.14
136873,0.14
136896,0.14
136917,0.14
137052,0.14
137064,0.14
137088,0.14
137228,0.14
137800,0.14
138458,0.14
138627,0.14
139160,0.14
139182,0.14
139764,0.14
136102,0.13
136305,0.13
136544,0.13
136567,0.13
136568,0.13
136629,0.13
136973,0.13
137011,0.13
137058,0.13
137416,0.13
137827,0.13
138289,0.13
138480,0.13
138525,0.13
139500,0.13
140117,0.13
136297,0.12
136390,0.12
136454,0.12
136479,0.12
136797,0.12
136839,0.12
136908,0.12
136921,0.12
136980,0.12
137386,0.12
137558,0.12
137754,0.12
138177,0.12
138193,0.12
139189,0.12
135663,0.11
136156,0.11
136587,0.11
136885,0.11
136924,0.11
136927,0.11
137297,0.11
137342,0.11
137423,0.11
138184,0.11
138329,0.11
139746,0.11
134311,0.1
134815,0.1
135818,0.1
135951,0.1
136186,0.1
136268,0.1
136517,0.1
136559,0.1
136600,0.1
136904,0.1
136963,0.1
137037,0.1
137159,0.1
137309,0.1
137449,0.1
137619,0.1
137773,0.1
137988,0.1
138024,0.1
138039,0.1
138059,0.1
138137,0.1
138834,0.1
138918,0.1
139277,0.1
139319,0.1
140091,0.1
130909,0.09
136042,0.09
136501,0.09
136643,0.09
136786,0.09
136992,0.09
137019,0.09
137073,0.09
137130,0.09
137190,0.09
137315,0.09
137764,0.09
138038,0.09
138411,0.09
138471,0.09
138506,0.09
139143,0.09
135295,0.08
135632,0.08
135654,0.08
136294,0.08
136569,0.08
137177,0.08
137218,0.08
137360,0.08
137790,0.08
137833,0.08
137895,0.08
138123,0.08
138341,0.08
138732,0.08
135300,0.07
135652,0.07
136296,0.07
136489,0.07
136543,0.07
136724,0.07
136877,0.07
137040,0.07
137059,0.07
137063,0.07
137300,0.07
137310,0.07
137336,0.07
137345,0.07
137770,0.07
137834,0.07
137884,0.07
138023,0.07
138951,0.07
139272,0.07
139401,0.07
139442,0.07
139487,0.07
139675,0.07
139873,0.07
134314,0.06
135584,0.06
136044,0.06
136515,0.06
136519,0.06
136570,0.06
136658,0.06
136791,0.06
136925,0.06
137075,0.06
137153,0.06
137169,0.06
137227,0.06
137346,0.06
137462,0.06
137464,0.06
137500,0.06
137618,0.06
137775,0.06
138082,0.06
138216,0.06
138298,0.06
138706,0.06
139158,0.06
135294,0.05
136128,0.05
136387,0.05
136593,0.05
136650,0.05
136668,0.05
136735,0.05
136968,0.05
137083,0.05
137217,0.05
137384,0.05
137885,0.05
137937,0.05
137981,0.05
138054,0.05
139606,0.05
139649,0.05
139872,0.05
140126,0.05
130908,0.04
135296,0.04
135653,0.04
135955,0.04
135979,0.04
136718,0.04
136883,0.04
136991,0.04
137089,0.04
137172,0.04
137188,0.04
137401,0.04
137444,0.04
137851,0.04
137886,0.04
138853,0.04
138961,0.04
139292,0.04
140154,0.04
140204,0.04
136273,0.03
136278,0.03
136307,0.03
136585,0.03
136758,0.03
136964,0.03
137119,0.03
137186,0.03
137772,0.03
138214,0.03
138545,0.03
139405,0.03
140108,0.03
136337,0.02
136483,0.02
136557,0.02
136657,0.02
136672,0.02
136733,0.02
137198,0.02
137214,0.02
137746,0.02
137872,0.02
137874,0.02
138041,0.02
138178,0.02
138522,0.02
139062,0.02
139334,0.02
139769,0.02
139891,0.02
135389,0.01
136125,0.01
136201,0.01
136331,0.01
136583,0.01
136655,0.01
136722,0.01
137097,0.01
137128,0.01
137261,0.01
137734,0.01
137752,0.01
137777,0.01
137858,0.01
137965,0.01
138337,0.01
138360,0.01
138665,0.01
138707,0.01
138747,0.01
139058,0.01
140049,0.01
105135,0
135234,0
136145,0
136192,0
136496,0
136614,0
136639,0
136847,0
136860,0
136886,0
136902,0
136918,0
136944,0
137000,0
137007,0
137104,0
137140,0
137254,0
137319,0
137673,0
137679,0
137735,0
137922,0
137925,0
137944,0
138172,0
138183,0
138681,0
138817,0
138819,0
139368,0
139538,0
135315,-0.01
135957,-0.01
136198,-0.01
136394,-0.01
136616,-0.01
136803,-0.01
136844,-0.01
136995,-0.01
137125,-0.01
137197,-0.01
137209,-0.01
137285,-0.01
137446,-0.01
137552,-0.01
137553,-0.01
137798,-0.01
137844,-0.01
137857,-0.01
138606,-0.01
138923,-0.01
139036,-0.01
134369,-0.02
135649,-0.02
136767,-0.02
136800,-0.02
137205,-0.02
137225,-0.02
137436,-0.02
137755,-0.02
137859,-0.02
138058,-0.02
138250,-0.02
138484,-0.02
138879,-0.02
139348,-0.02
139975,-0.02
140055,-0.02
135149,-0.03
135565,-0.03
135983,-0.03
136340,-0.03
136349,-0.03
136540,-0.03
136728,-0.03
137096,-0.03
137262,-0.03
137369,-0.03
137842,-0.03
137974,-0.03
138210,-0.03
138352,-0.03
138746,-0.03
138757,-0.03
139055,-0.03
139994,-0.03
135371,-0.04
135629,-0.04
135744,-0.04
135956,-0.04
135958,-0.04
136627,-0.04
136788,-0.04
136833,-0.04
137117,-0.04
137457,-0.04
137535,-0.04
137733,-0.04
137812,-0.04
138018,-0.04
138686,-0.04
129342,-0.05
135665,-0.05
136172,-0.05
136596,-0.05
136725,-0.05
136900,-0.05
136959,-0.05
136965,-0.05
136979,-0.05
137154,-0.05
137156,-0.05
137251,-0.05
137368,-0.05
137514,-0.05
137625,-0.05
137880,-0.05
137906,-0.05
138585,-0.05
138758,-0.05
138928,-0.05
139043,-0.05
139318,-0.05
135120,-0.06
136205,-0.06
136279,-0.06
136347,-0.06
136604,-0.06
136606,-0.06
136849,-0.06
136854,-0.06
136971,-0.06
137001,-0.06
137448,-0.06
137524,-0.06
137828,-0.06
138002,-0.06
138630,-0.06
138650,-0.06
138833,-0.06
139196,-0.06
139290,-0.06
139369,-0.06
139839,-0.06
139996,-0.06
135938,-0.07
135944,-0.07
136136,-0.07
136575,-0.07
136671,-0.07
137065,-0.07
137135,-0.07
137141,-0.07
137162,-0.07
137206,-0.07
137294,-0.07
137491,-0.07
137522,-0.07
137582,-0.07
137869,-0.07
138116,-0.07
138435,-0.07
138622,-0.07
138632,-0.07
139248,-0.07
139534,-0.07
134223,-0.08
135580,-0.08
136105,-0.08
136465,-0.08
136525,-0.08
136576,-0.08
136607,-0.08
136645,-0.08
136763,-0.08
137124,-0.08
137145,-0.08
137367,-0.08
137941,-0.08
138511,-0.08
138614,-0.08
138948,-0.08
139074,-0.08
139271,-0.08
131065,-0.09
135876,-0.09
136300,-0.09
136727,-0.09
137248,-0.09
137356,-0.09
137421,-0.09
137458,-0.09
137532,-0.09
137538,-0.09
137763,-0.09
137931,-0.09
138696,-0.09
138852,-0.09
139181,-0.09
139276,-0.09
139455,-0.09
139501,-0.09
139542,-0.09
135630,-0.1
135942,-0.1
136127,-0.1
136187,-0.1
136281,-0.1
136558,-0.1
136605,-0.1
136646,-0.1
137521,-0.1
137878,-0.1
137936,-0.1
138221,-0.1
138326,-0.1
138623,-0.1
139067,-0.1
139304,-0.1
139486,-0.1
135365,-0.11
135661,-0.11
136683,-0.11
137013,-0.11
137111,-0.11
137280,-0.11
137409,-0.11
137420,-0.11
137536,-0.11
137656,-0.11
137702,-0.11
137707,-0.11
137830,-0.11
137847,-0.11
138042,-0.11
138235,-0.11
139139,-0.11
139786,-0.11
139988,-0.11
136147,-0.12
136764,-0.12
136785,-0.12
136903,-0.12
136958,-0.12
137080,-0.12
137093,-0.12
137146,-0.12
137236,-0.12
137472,-0.12
137907,-0.12
138472,-0.12
139118,-0.12
135770,-0.13
135864,-0.13
136612,-0.13
136626,-0.13
136652,-0.13
136969,-0.13
137176,-0.13
137361,-0.13
137382,-0.13
137832,-0.13
137911,-0.13
138114,-0.13
138150,-0.13
138236,-0.13
138647,-0.13
138832,-0.13
139152,-0.13
135297,-0.14
136301,-0.14
136406,-0.14
136875,-0.14
137305,-0.14
137461,-0.14
137638,-0.14
138103,-0.14
138124,-0.14
138936,-0.14
139335,-0.14
139867,-0.14
135905,-0.15
136139,-0.15
136213,-0.15
136302,-0.15
136638,-0.15
136779,-0.15
137087,-0.15
137440,-0.15
138342,-0.15
139180,-0.15
139367,-0.15
139878,-0.15
135980,-0.16
136467,-0.16
136909,-0.16
137252,-0.16
137252,-0.16
137265,-0.16
137637,-0.16
138046,-0.16
138759,-0.16
138859,-0.16
138920,-0.16
139629,-0.16
139840,-0.16
136157,-0.17
137072,-0.17
138925,-0.17
139048,-0.17
139623,-0.17
135367,-0.18
135598,-0.18
137161,-0.18
137164,-0.18
137576,-0.18
137603,-0.18
137948,-0.18
138204,-0.18
138524,-0.18
139101,-0.18
139697,-0.18
134221,-0.19
135671,-0.19
136104,-0.19
136611,-0.19
136972,-0.19
137008,-0.19
137112,-0.19
137487,-0.19
137782,-0.19
137945,-0.19
138273,-0.19
138845,-0.19
139268,-0.19
139364,-0.19
139464,-0.19
139841,-0.19
139995,-0.19
140106,-0.19
135209,-0.2
135449,-0.2
135866,-0.2
135960,-0.2
136106,-0.2
136405,-0.2
136462,-0.2
136526,-0.2
137674,-0.2
137949,-0.2
138783,-0.2
138885,-0.2
139100,-0.2
136090,-0.21
136185,-0.21
136589,-0.21
136987,-0.21
137079,-0.21
137192,-0.21
137614,-0.21
137942,-0.21
138810,-0.21
139059,-0.21
135007,-0.22
135875,-0.22
136175,-0.22
136876,-0.22
137445,-0.22
137650,-0.22
138167,-0.22
138463,-0.22
138571,-0.22
139028,-0.22
139076,-0.22
135582,-0.23
135761,-0.23
135911,-0.23
136548,-0.23
136620,-0.23
136772,-0.23
136923,-0.23
136982,-0.23
137224,-0.23
137687,-0.23
137966,-0.23
138699,-0.23
138720,-0.23
138937,-0.23
139051,-0.23
135306,-0.24
136282,-0.24
136780,-0.24
137158,-0.24
138053,-0.24
135628,-0.25
136494,-0.25
136623,-0.25
136838,-0.25
137049,-0.25
137193,-0.25
137231,-0.25
137256,-0.25
137399,-0.25
138959,-0.25
139146,-0.25
139765,-0.25
139936,-0.25
136016,-0.26
136032,-0.26
138162,-0.26
138662,-0.26
131896,-0.27
134003,-0.27
135760,-0.27
136324,-0.27
136663,-0.27
136708,-0.27
137608,-0.27
138076,-0.27
138897,-0.27
139656,-0.27
134993,-0.28
135263,-0.28
135305,-0.28
136799,-0.28
136822,-0.28
136858,-0.28
137053,-0.28
137110,-0.28
137234,-0.28
137792,-0.28
137840,-0.28
137849,-0.28
138020,-0.28
138073,-0.28
138624,-0.28
138755,-0.28
139669,-0.28
136164,-0.29
136756,-0.29
137908,-0.29
138660,-0.29
138717,-0.29
138858,-0.29
139072,-0.29
139528,-0.29
139588,-0.29
139589,-0.29
135913,-0.3
135943,-0.3
136574,-0.3
136868,-0.3
136895,-0.3
137696,-0.3
137975,-0.3
138616,-0.3
139956,-0.3
135874,-0.31
135966,-0.31
137613,-0.31
137640,-0.31
137898,-0.31
138355,-0.31
138573,-0.31
139294,-0.31
139402,-0.31
136401,-0.32
136720,-0.32
136867,-0.32
136912,-0.32
137203,-0.32
137408,-0.32
137983,-0.32
138448,-0.32
138836,-0.32
139553,-0.32
139708,-0.32
139766,-0.32
139852,-0.32
139853,-0.32
138831,-0.33
139456,-0.33
136719,-0.34
139231,-0.34
139506,-0.34
139578,-0.34
133114,-0.35
137473,-0.35
138664,-0.35
138734,-0.35
139686,-0.35
139961,-0.35
136183,-0.36
136330,-0.36
137167,-0.36
139102,-0.36
136537,-0.37
137094,-0.37
137321,-0.37
138256,-0.37
138274,-0.37
138312,-0.37
138837,-0.37
139288,-0.37
139938,-0.37
135313,-0.38
136378,-0.38
136681,-0.38
136768,-0.38
136824,-0.38
138821,-0.38
136317,-0.39
136421,-0.39
137106,-0.39
137298,-0.39
138120,-0.39
138217,-0.39
139345,-0.39
135176,-0.4
135804,-0.4
135946,-0.4
135964,-0.4
136745,-0.4
136753,-0.4
137684,-0.4
134253,-0.41
136674,-0.41
137232,-0.41
137630,-0.41
137691,-0.41
138222,-0.41
138567,-0.41
139060,-0.41
135071,-0.42
136871,-0.42
137779,-0.42
138620,-0.42
135070,-0.43
135564,-0.43
135881,-0.43
136894,-0.43
137210,-0.43
137350,-0.43
137799,-0.43
138030,-0.43
138171,-0.43
139957,-0.43
135195,-0.44
135897,-0.44
137222,-0.44
137705,-0.44
138107,-0.44
138287,-0.44
138985,-0.44
139168,-0.44
139234,-0.44
140037,-0.44
135745,-0.45
135865,-0.45
137372,-0.45
137374,-0.45
135583,-0.46
135886,-0.46
137701,-0.46
138641,-0.46
138850,-0.46
139037,-0.46
135401,-0.47
136383,-0.47
137107,-0.47
137414,-0.47
139204,-0.47
139307,-0.47
136716,-0.48
137390,-0.48
138439,-0.48
139946,-0.48
136166,-0.49
136202,-0.49
137317,-0.49
137484,-0.49
137749,-0.49
138466,-0.49
138644,-0.49
138754,-0.49
139130,-0.5
135904,-0.51
135936,-0.51
135508,-0.52
137447,-0.52
139596,-0.52
135372,-0.53
136409,-0.53
136948,-0.53
137364,-0.53
138089,-0.53
138374,-0.53
139690,-0.53
136751,-0.54
137103,-0.54
137946,-0.54
138964,-0.54
139735,-0.54
133769,-0.55
136208,-0.55
137109,-0.55
137165,-0.55
139590,-0.55
131749,-0.56
136089,-0.56
137137,-0.56
137138,-0.56
137548,-0.56
136141,-0.57
137867,-0.57
139821,-0.57
136103,-0.58
136485,-0.58
136591,-0.58
136729,-0.58
138414,-0.58
138418,-0.58
137189,-0.59
135967,-0.6
136182,-0.6
139157,-0.6
139788,-0.61
139049,-0.62
135769,-0.63
135879,-0.63
136142,-0.63
137873,-0.63
139982,-0.63
137706,-0.66
135335,-0.67
135684,-0.67
138351,-0.67
139403,-0.67
134797,-0.68
137066,-0.68
137187,-0.68
139301,-0.68
139953,-0.69
136146,-0.7
139432,-0.7
135941,-0.71
137598,-0.71
138394,-0.71
139054,-0.72
139373,-0.73
139695,-0.73
101857,-0.74
136217,-0.74
138780,-0.74
139792,-0.74
139689,-0.75
140001,-0.75
135622,-0.76
139416,-0.76
139614,-0.76
131898,-0.77
136148,-0.78
139564,-0.79
133768,-0.8
138481,-0.8
136476,-0.81
135981,-0.82
136158,-0.82
139013,-0.82
139536,-0.82
130247,-0.84
138569,-0.85
139328,-0.85
135599,-0.87
137520,-0.87
138097,-0.87
138872,-0.87
137122,-0.88
138388,-0.88
139738,-0.88
135004,-0.89
135597,-0.89
139666,-0.89
137084,-0.9
136119,-0.92
135314,-0.94
137196,-0.96
137113,-1.02
138437,-1.03
137690,-1.05
138199,-1.06
137864,-1.07
136121,-1.08
136135,-1.09
138198,-1.1
128364,-1.12
138368,-1.14
135685,-1.17
136027,-1.21
138223,-1.23
138537,-1.23
139789,-1.34
139902,-1.42
139781,-1.66
139895,-1.72
139667,-1.79
139924,-2.01
138566,-2.09
139237,-2.09
138225,-2.16
138255,-2.32